timestamp,image_path,pred_lon,pred_lat,pred_alt,gt_lon,gt_lat,gt_alt,pixel_dx,pixel_dy,inlier_ratio,scale_confidence,yaw_deg,blur_score,method,raw_alt_estimate,flight_phase,phase_confidence,phase_from_vision,scale_trend,scale_trend_ratio,up_ratio,down_ratio,stable_ratio,scale_method,divergence_ratio,affine_scale,consistency_diff,pixels_per_meter_used,is_alt_fixed,cumulative_window_n,delta_alt_cumulative,mpp_history_median,mpp_current_raw,mpp_ratio,alt_fixed_triggered,physics_flag,ekf_innovation_alt,ekf_v_alt,ekf_update_mode,is_keyframe_reset,num_tracked,affine_rotation_deg,phase_dx,phase_dy,phase_response,fourier_rotation_deg,fourier_response,map_pixel_dx,map_pixel_dy,horizontal_error,altitude_error
1734763664200,F:\agent\UAV\data\IR-image\1734763664200.jpg,116.168975,38.8121207,483.54,116.168975,38.8121207,483.54,0.0,0.0,0.8336933045356372,0.0,-101.32000000000026,2069.682235590285,initial,483.54,C,1.0,C,transition,"up=0.000,stable=0.000,down=0.000",0.0,0.0,0.0,4,,,,,False,0,,,,,0,0,0.0,0.0,3,True,500,,,,0.0,,0.0,,,0.0,0.0
1734763664400,F:\agent\UAV\data\IR-image\1734763664400.jpg,116.16901515737827,38.81212214607517,484.1763787559718,116.1690312,38.8121209,484.06,-3.2004424972495826,13.459261937601752,0.7379032258064516,0.588,-100.72981881959346,2790.3574093147745,lk,484.35925764079195,C,0.5,A_down,down,"up=0.000,stable=0.000,down=0.000",0.0,0.0,0.0,1,1.0022532825643715,1.0011416679282554,0.0011116146361160872,3.963999799140622,False,1,-1.0871027016129633,0.2520570983439563,0.2522704466879125,1.0008464286281082,0,0,0.8192576407919319,3.173958850991893e-08,1,False,366,-0.590181180406808,-4.902612266898075,12.86064304112844,0.9015306564047932,,0.2940217964060139,,,1.3968825643185052,0.11637875597182301
1734763664600,F:\agent\UAV\data\IR-image\1734763664600.jpg,116.16901531720863,38.81212215183069,484.17637876231976,116.1690873,38.8121209,484.58,-3.9541460123271577,8.881526857376372,0.47584789311408016,0.588,-100.50863547477073,5070.417090787356,orb+phase,484.96501906288836,C,0.5,A_down,down,"up=0.000,stable=0.000,down=0.000",0.0,0.0,0.0,1,1.0013033534456777,1.0014863895317314,0.000183036086053745,3.9589314425214224,False,2,-1.717348059037365,0.2522704466879125,0.2525859474285877,1.0012506448726652,0,0,0.8029718215241815,3.173958850991893e-08,3,True,463,-0.22118334482273688,-3.9541460123271577,8.881526857376372,0.9160795072093606,,0.3273996934585739,,,6.238416088896624,0.40362123768022684
1734763664800,F:\agent\UAV\data\IR-image\1734763664800.jpg,116.1690606149025,38.81213537485166,484.52149866805803,116.1691435,38.8121208,485.11,-8.457865410245915,14.24866648510124,0.655241935483871,0.588,-100.09707447855871,4387.137644921206,lk,485.0589526489199,C,0.5,A_down,down,"up=0.000,stable=0.000,down=0.000",0.0,0.0,0.0,1,1.0015584370083521,1.00195032057132,0.0003918835629679318,3.9586825326493797,False,3,-2.468060130057343,0.2524281970582501,0.25263487117131245,1.0008187441635716,0,0,0.833465836129335,0.0022580172236881415,1,False,325,-0.41156099621202186,-9.51435437134569,13.431331609642456,0.9636174551211297,,0.33784805121831596,,,7.362075865570129,0.5885013319419841
1734763665000,F:\agent\UAV\data\IR-image\1734763665000.jpg,116.16909547257953,38.812139739955384,484.77001025800064,116.1691998,38.8121208,485.62,-3.905626375567806,11.353829793794887,0.8615384615384616,0.588,-99.88533180029341,5091.775491268848,lk,484.91816252266625,C,0.5,A_down,down,"up=0.000,stable=0.000,down=0.000",0.0,0.0,0.0,1,0.9987297826386642,1.000677913645677,0.0019481310070127433,3.9570072302511416,False,4,-1.8567319200598649,0.25256154298055533,0.25256154298055533,1.0,0,0,0.6932359231765872,0.0065486387386203375,1,False,280,-0.2117426782652965,-4.075293427578458,11.336306467035257,0.960501543385908,,0.36920993981766514,,,9.281418664221476,0.8499897419993658
1734763665200,F:\agent\UAV\data\IR-image\1734763665200.jpg,116.16914118086433,38.812145735492415,484.9186315829332,116.169256,38.8121206,486.12,-5.263207236976029,14.847406178437382,0.7571428571428571,0.588,-99.98346666279079,5265.783913881323,lk,485.1652075559712,C,0.5,A_down,down,"up=0.000,stable=0.000,down=0.000",0.0,0.0,0.0,1,1.0003348117127113,1.0007925710357282,0.00045775932301683753,3.9557519070120843,False,5,-2.0193185517659065,0.25257374520457154,0.252690212268735,1.000461121024551,0,0,0.5978450006984986,0.012202520730244866,1,False,212,0.09813486249737662,-5.054840465476673,14.703667359766229,0.9469876596704125,,0.36287649325095117,,,10.333521989872095,1.201368417066817
1734763665400,F:\agent\UAV\data\IR-image\1734763665400.jpg,116.16914183253728,38.812145833687644,484.9210720870792,116.1693123,38.8121203,486.59,-10.208207673871698,7.772019187273969,0.441,0.588,-100.14882849716643,3039.052411629995,orb+phase,485.2460902569312,C,0.5,A_down,down,"up=0.000,stable=0.000,down=0.000",0.0,0.0,0.0,1,1.0006457708864478,1.0005394278597612,0.0001063430266865506,3.9551624773514225,False,6,-2.3315845863955054,0.2525859474285877,0.252732338675485,1.0005795700370017,0,0,0.5204264593293146,0.012202520730244866,3,True,441,0.16536183437564075,-10.208207673871698,7.772019187273969,0.8870111646130681,,0.30175940168555826,,,15.040362812681357,1.6689279129207648
1734763665600,F:\agent\UAV\data\IR-image\1734763665600.jpg,116.16915427605726,38.81219224702747,485.0249521424167,116.1693685,38.81212,487.15,-20.805367070346847,0.34174933339522795,0.5529531568228105,0.588,-100.27991901954842,5662.808925111211,orb,485.7898809971799,C,0.5,A_down,down,"up=0.000,stable=0.000,down=0.000",0.0,0.0,0.0,1,1.0004586478410524,1.0028291400905138,0.002370492249461398,3.9545035302781475,False,7,-2.552834590814457,0.25261040929995005,0.25301556301936456,1.0016038678712302,0,0,0.5988760725555835,0.02272766596649603,1,False,543,0.13109052238197655,-20.57290385269755,0.013960553138701925,0.9474481770768761,,0.325671344762668,,,20.22509145382323,2.125047857583297
1734763665800,F:\agent\UAV\data\IR-image\1734763665800.jpg,116.16919533524612,38.81219813165266,485.1709668519339,116.1694246,38.8121198,487.76,-4.885797944502315,13.201568633074714,1.0,0.588,-100.20201212930967,5676.659542171807,lk,485.5024681551561,C,0.5,A_down,down,"up=0.000,stable=0.000,down=0.000",0.0,0.0,0.0,1,1.0029601304307019,1.0009260990696185,0.002034031361083377,3.953916616097634,False,8,-3.977369582525527,0.25263487117131245,0.25286586883081047,1.0009143538199103,0,0,0.5649612927653607,0.043082508456911646,1,False,543,-0.07790689023875523,-5.013937772166514,12.942600668247309,0.9704501037485898,,0.3942985874164151,,,21.690056495627406,2.5890331480661075
1734763666000,F:\agent\UAV\data\IR-image\1734763666000.jpg,116.16921260203436,38.81217670975139,485.1795833536253,116.1694808,38.8121197,488.33,8.441366754916032,7.217283175240823,1.0,0.18144,-100.04285833947166,5168.802823350989,lk,485.6287458881234,C,0.7333333333333333,A_down,transition,"up=0.400,stable=0.500,down=0.000",0.4,0.0,0.5,1,1.003637807168152,1.0005412503071927,0.003096556860959332,3.95305193353915,False,9,-5.722771750669252,0.2526625417200237,0.2529316384833976,1.0010650441555047,0,3,0.5210935613457082,0.043082508456911646,2,False,543,-0.15915378983800782,7.980411523146074,7.203963158519031,0.9868066227529197,,0.392675049835816,,,24.086831312402325,3.1504166463747083
